location,date,variant,num_sequences_total
Angola,7/6/2020,Alpha,3
Angola,7/6/2020,B.1.1.277,3
Angola,7/6/2020,B.1.1.302,3
Angola,7/6/2020,B.1.1.519,3
Angola,7/6/2020,B.1.160,3
Angola,7/6/2020,B.1.177,3
Angola,7/6/2020,B.1.221,3
Angola,7/6/2020,B.1.258,3
Angola,7/6/2020,B.1.367,3
Angola,7/6/2020,B.1.620,3
Angola,7/6/2020,Beta,3
Angola,7/6/2020,Delta,3
Angola,7/6/2020,Epsilon,3
Angola,7/6/2020,Eta,3
Angola,7/6/2020,Gamma,3
Angola,7/6/2020,Iota,3
Angola,7/6/2020,Kappa,3
Angola,7/6/2020,Lambda,3
Angola,7/6/2020,Mu,3
Angola,7/6/2020,Omicron,3
Angola,7/6/2020,S:677H.Robin1,3
Angola,7/6/2020,S:677P.Pelican,3
Angola,7/6/2020,others,3
Angola,7/6/2020,non_who,3
Angola,8/31/2020,Alpha,1
Angola,8/31/2020,B.1.1.277,1
Angola,8/31/2020,B.1.1.302,1
Angola,8/31/2020,B.1.1.519,1
Angola,8/31/2020,B.1.160,1
Angola,8/31/2020,B.1.177,1
Angola,8/31/2020,B.1.221,1
Angola,8/31/2020,B.1.258,1
Angola,8/31/2020,B.1.367,1
Angola,8/31/2020,B.1.620,1
Angola,8/31/2020,Beta,1
Angola,8/31/2020,Delta,1
Angola,8/31/2020,Epsilon,1
Angola,8/31/2020,Eta,1
Angola,8/31/2020,Gamma,1
Angola,8/31/2020,Iota,1
Angola,8/31/2020,Kappa,1
Angola,8/31/2020,Lambda,1
Angola,8/31/2020,Mu,1
Angola,8/31/2020,Omicron,1
Angola,8/31/2020,S:677H.Robin1,1
Angola,8/31/2020,S:677P.Pelican,1
Angola,8/31/2020,others,1
Angola,8/31/2020,non_who,1
Angola,9/28/2020,Alpha,10
Angola,9/28/2020,B.1.1.277,10
Angola,9/28/2020,B.1.1.302,10
Angola,9/28/2020,B.1.1.519,10
Angola,9/28/2020,B.1.160,10
Angola,9/28/2020,B.1.177,10
Angola,9/28/2020,B.1.221,10
Angola,9/28/2020,B.1.258,10
Angola,9/28/2020,B.1.367,10
Angola,9/28/2020,B.1.620,10
Angola,9/28/2020,Beta,10
Angola,9/28/2020,Delta,10
Angola,9/28/2020,Epsilon,10
Angola,9/28/2020,Eta,10
Angola,9/28/2020,Gamma,10
Angola,9/28/2020,Iota,10
Angola,9/28/2020,Kappa,10
Angola,9/28/2020,Lambda,10
Angola,9/28/2020,Mu,10
Angola,9/28/2020,Omicron,10
Angola,9/28/2020,S:677H.Robin1,10
Angola,9/28/2020,S:677P.Pelican,10
Angola,9/28/2020,others,10
Angola,9/28/2020,non_who,10
Angola,10/12/2020,Alpha,29
Angola,10/12/2020,B.1.1.277,29
Angola,10/12/2020,B.1.1.302,29
Angola,10/12/2020,B.1.1.519,29
Angola,10/12/2020,B.1.160,29
Angola,10/12/2020,B.1.177,29
Angola,10/12/2020,B.1.221,29
Angola,10/12/2020,B.1.258,29
Angola,10/12/2020,B.1.367,29
Angola,10/12/2020,B.1.620,29
Angola,10/12/2020,Beta,29
Angola,10/12/2020,Delta,29
Angola,10/12/2020,Epsilon,29
Angola,10/12/2020,Eta,29
Angola,10/12/2020,Gamma,29
Angola,10/12/2020,Iota,29
Angola,10/12/2020,Kappa,29
Angola,10/12/2020,Lambda,29
Angola,10/12/2020,Mu,29
Angola,10/12/2020,Omicron,29
Angola,10/12/2020,S:677H.Robin1,29
Angola,10/12/2020,S:677P.Pelican,29
Angola,10/12/2020,others,29
Angola,10/12/2020,non_who,29
Angola,10/26/2020,Alpha,7
Angola,10/26/2020,B.1.1.277,7
Angola,10/26/2020,B.1.1.302,7
Angola,10/26/2020,B.1.1.519,7
Angola,10/26/2020,B.1.160,7
Angola,10/26/2020,B.1.177,7
Angola,10/26/2020,B.1.221,7
Angola,10/26/2020,B.1.258,7
Angola,10/26/2020,B.1.367,7
Angola,10/26/2020,B.1.620,7
Angola,10/26/2020,Beta,7
Angola,10/26/2020,Delta,7
Angola,10/26/2020,Epsilon,7
Angola,10/26/2020,Eta,7
Angola,10/26/2020,Gamma,7
Angola,10/26/2020,Iota,7
Angola,10/26/2020,Kappa,7
Angola,10/26/2020,Lambda,7
Angola,10/26/2020,Mu,7
Angola,10/26/2020,Omicron,7
Angola,10/26/2020,S:677H.Robin1,7
Angola,10/26/2020,S:677P.Pelican,7
Angola,10/26/2020,others,7
Angola,10/26/2020,non_who,7
Angola,12/7/2020,Alpha,6
Angola,12/7/2020,B.1.1.277,6
Angola,12/7/2020,B.1.1.302,6
Angola,12/7/2020,B.1.1.519,6
Angola,12/7/2020,B.1.160,6
Angola,12/7/2020,B.1.177,6
Angola,12/7/2020,B.1.221,6
Angola,12/7/2020,B.1.258,6
Angola,12/7/2020,B.1.367,6
Angola,12/7/2020,B.1.620,6
Angola,12/7/2020,Beta,6
Angola,12/7/2020,Delta,6
Angola,12/7/2020,Epsilon,6
Angola,12/7/2020,Eta,6
Angola,12/7/2020,Gamma,6
Angola,12/7/2020,Iota,6
Angola,12/7/2020,Kappa,6
Angola,12/7/2020,Lambda,6
Angola,12/7/2020,Mu,6
Angola,12/7/2020,Omicron,6
Angola,12/7/2020,S:677H.Robin1,6
Angola,12/7/2020,S:677P.Pelican,6
Angola,12/7/2020,others,6
Angola,12/7/2020,non_who,6
Angola,12/21/2020,Alpha,93
Angola,12/21/2020,B.1.1.277,93
Angola,12/21/2020,B.1.1.302,93
Angola,12/21/2020,B.1.1.519,93
Angola,12/21/2020,B.1.160,93
Angola,12/21/2020,B.1.177,93
Angola,12/21/2020,B.1.221,93
Angola,12/21/2020,B.1.258,93
Angola,12/21/2020,B.1.367,93
Angola,12/21/2020,B.1.620,93
Angola,12/21/2020,Beta,93
Angola,12/21/2020,Delta,93
Angola,12/21/2020,Epsilon,93
Angola,12/21/2020,Eta,93
Angola,12/21/2020,Gamma,93
Angola,12/21/2020,Iota,93
Angola,12/21/2020,Kappa,93
Angola,12/21/2020,Lambda,93
Angola,12/21/2020,Mu,93
Angola,12/21/2020,Omicron,93
Angola,12/21/2020,S:677H.Robin1,93
Angola,12/21/2020,S:677P.Pelican,93
Angola,12/21/2020,others,93
Angola,12/21/2020,non_who,93
Angola,1/4/2021,Alpha,5
Angola,1/4/2021,B.1.1.277,5
Angola,1/4/2021,B.1.1.302,5
Angola,1/4/2021,B.1.1.519,5
Angola,1/4/2021,B.1.160,5
Angola,1/4/2021,B.1.177,5
Angola,1/4/2021,B.1.221,5
Angola,1/4/2021,B.1.258,5
Angola,1/4/2021,B.1.367,5
Angola,1/4/2021,B.1.620,5
Angola,1/4/2021,Beta,5
Angola,1/4/2021,Delta,5
Angola,1/4/2021,Epsilon,5
Angola,1/4/2021,Eta,5
Angola,1/4/2021,Gamma,5
Angola,1/4/2021,Iota,5
Angola,1/4/2021,Kappa,5
Angola,1/4/2021,Lambda,5
Angola,1/4/2021,Mu,5
Angola,1/4/2021,Omicron,5
Angola,1/4/2021,S:677H.Robin1,5
Angola,1/4/2021,S:677P.Pelican,5
Angola,1/4/2021,others,5
Angola,1/4/2021,non_who,5
Angola,1/11/2021,Alpha,16
Angola,1/11/2021,B.1.1.277,16
Angola,1/11/2021,B.1.1.302,16
Angola,1/11/2021,B.1.1.519,16
Angola,1/11/2021,B.1.160,16
Angola,1/11/2021,B.1.177,16
Angola,1/11/2021,B.1.221,16
Angola,1/11/2021,B.1.258,16
Angola,1/11/2021,B.1.367,16
Angola,1/11/2021,B.1.620,16
Angola,1/11/2021,Beta,16
Angola,1/11/2021,Delta,16
Angola,1/11/2021,Epsilon,16
Angola,1/11/2021,Eta,16
Angola,1/11/2021,Gamma,16
Angola,1/11/2021,Iota,16
Angola,1/11/2021,Kappa,16
Angola,1/11/2021,Lambda,16
Angola,1/11/2021,Mu,16
Angola,1/11/2021,Omicron,16
Angola,1/11/2021,S:677H.Robin1,16
Angola,1/11/2021,S:677P.Pelican,16
Angola,1/11/2021,others,16
Angola,1/11/2021,non_who,16
Angola,1/25/2021,Alpha,52
Angola,1/25/2021,B.1.1.277,52
